Generation,BestFitness
1,9.92563385071243
2,4.0478390827416355
3,2.4992611179448296
4,0.879918691041695
5,0.879918691041695
6,0.879918691041695
7,0.879918691041695
8,0.879918691041695
9,0.879918691041695
10,0.879918691041695
11,0.879918691041695
12,0.879918691041695
13,0.879918691041695
14,0.879918691041695
15,0.879918691041695
16,0.879918691041695
17,0.879918691041695
18,0.879918691041695
19,0.879918691041695
20,0.879918691041695
21,0.879918691041695
22,0.879918691041695
23,0.879918691041695
24,0.879918691041695
25,0.879918691041695
26,0.879918691041695
27,0.879918691041695
28,0.879918691041695
29,0.879918691041695
30,0.879918691041695
31,0.879918691041695
32,0.22572168577448792
33,0.22572168577448792
34,0.22572168577448792
35,0.22572168577448792
36,0.22572168577448792
37,0.22572168577448792
38,0.22572168577448792
39,0.22572168577448792
40,0.22572168577448792
41,0.22572168577448792
42,0.22572168577448792
43,0.22572168577448792
44,0.22572168577448792
45,0.22572168577448792
46,0.22572168577448792
47,0.22572168577448792
48,0.22572168577448792
49,0.22572168577448792
50,0.22572168577448792
51,0.170143471402195
52,0.170143471402195
53,0.170143471402195
54,0.09212666856098295
55,0.08280616663090257
56,0.0009514078780377133
57,0.0009514078780377133
58,0.0009514078780377133
59,0.0009514078780377133
60,0.0009514078780377133
61,0.0009514078780377133
62,0.0009514078780377133
63,0.0009514078780377133
64,0.0009514078780377133
65,0.0009514078780377133
66,0.0009514078780377133
67,0.0009514078780377133
68,0.0009514078780377133
69,0.0009514078780377133
70,4.572037718020283e-05
71,4.572037718020283e-05
72,4.572037718020283e-05
73,4.572037718020283e-05
74,4.572037718020283e-05
75,4.572037718020283e-05
76,4.572037718020283e-05
77,1.5024531233365224e-05
78,1.5024531233365224e-05
79,1.5024531233365224e-05
80,1.5024531233365224e-05
81,1.5024531233365224e-05
82,1.5024531233365224e-05
83,7.1766081148894045e-06
84,7.1766081148894045e-06
85,7.1766081148894045e-06
86,1.3631012549808474e-06
87,9.383391130768359e-07
88,9.383391130768359e-07
89,9.383391130768359e-07
90,9.383391130768359e-07
91,9.383391130768359e-07
92,6.162406762655337e-08
93,6.162406762655337e-08
94,2.597709425344874e-08
95,2.597709425344874e-08
96,2.597709425344874e-08
97,2.597709425344874e-08
98,2.597709425344874e-08
99,1.1522200082936251e-08
100,1.1522200082936251e-08
101,3.5888199079181504e-09
102,3.5888199079181504e-09
103,3.5888199079181504e-09
104,3.5888199079181504e-09
105,3.5888199079181504e-09
106,3.5888199079181504e-09
107,3.5888199079181504e-09
108,2.530846643367113e-10
109,2.530846643367113e-10
110,2.530846643367113e-10
111,2.530846643367113e-10
112,2.530846643367113e-10
113,2.362341433581605e-10
114,2.362341433581605e-10
115,2.362341433581605e-10
116,2.362341433581605e-10
117,2.0051516003150027e-10
118,7.185718686741893e-11
119,7.185718686741893e-11
120,1.8118839761882555e-11
121,1.8118839761882555e-11
122,1.8118839761882555e-11
123,1.8118839761882555e-11
124,6.057376822354854e-12
125,6.057376822354854e-12
126,2.7533531010703882e-12
127,2.7533531010703882e-12
128,1.3784529073745944e-12
129,1.3784529073745944e-12
130,1.0551559626037488e-12
131,4.263256414560601e-14
132,4.263256414560601e-14
133,4.263256414560601e-14
134,4.263256414560601e-14
135,4.263256414560601e-14
136,4.263256414560601e-14
137,4.263256414560601e-14
138,4.263256414560601e-14
139,7.105427357601002e-15
140,7.105427357601002e-15
141,7.105427357601002e-15
142,7.105427357601002e-15
143,7.105427357601002e-15
144,3.552713678800501e-15
145,3.552713678800501e-15
146,3.552713678800501e-15
147,3.552713678800501e-15
148,3.552713678800501e-15
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
