Iteration,BestFitness
1,3.985119717448246
2,3.4374358328729393
3,3.409312555199474
4,2.1109881325626603
5,1.192590197520527
6,1.0751353755889212
7,1.0751353755889212
8,1.0751353755889212
9,0.8119772463059398
10,0.753692717244995
11,0.13728025876476124
12,0.13728025876476124
13,0.13728025876476124
14,0.13728025876476124
15,0.13728025876476124
16,0.13728025876476124
17,0.09847741790283493
18,0.09847741790283493
19,0.09847741790283493
20,0.04824819969394767
21,0.0397951078381098
22,0.012147340252507632
23,0.0010559570134027751
24,0.0010559570134027751
25,0.0010559570134027751
26,0.0010559570134027751
27,0.0010559570134027751
28,0.0010559570134027751
29,0.0010559570134027751
30,0.0010559570134027751
31,0.0010559570134027751
32,1.4514454850456104e-05
33,1.4514454850456104e-05
34,1.4514454850456104e-05
35,1.4514454850456104e-05
36,1.4514454850456104e-05
37,1.4514454850456104e-05
38,1.4514454850456104e-05
39,1.4514454850456104e-05
40,1.4514454850456104e-05
41,1.4514454850456104e-05
42,1.4514454850456104e-05
43,1.4514454850456104e-05
44,1.4514454850456104e-05
45,1.4514454850456104e-05
46,1.3431643782979563e-05
47,4.24903809559396e-06
48,4.24903809559396e-06
49,4.24903809559396e-06
50,4.24903809559396e-06
51,4.24903809559396e-06
52,4.24903809559396e-06
53,4.24903809559396e-06
54,4.24903809559396e-06
55,4.24903809559396e-06
56,4.24903809559396e-06
57,4.24903809559396e-06
58,1.5943817892605239e-06
59,1.5943817892605239e-06
60,1.537336409285217e-07
61,1.537336409285217e-07
62,1.537336409285217e-07
63,1.537336409285217e-07
64,1.537336409285217e-07
65,1.537336409285217e-07
66,1.537336409285217e-07
67,9.377692578027563e-08
68,9.377692578027563e-08
69,6.917760941860251e-08
70,6.917760941860251e-08
71,5.621814125333913e-08
72,1.732636079054828e-08
73,1.732636079054828e-08
74,1.732636079054828e-08
75,1.732636079054828e-08
76,1.732636079054828e-08
77,1.732636079054828e-08
78,2.488548034307314e-09
79,2.488548034307314e-09
80,2.488548034307314e-09
81,2.488548034307314e-09
82,2.1441337594296783e-09
83,1.0089777902066999e-09
84,1.0089777902066999e-09
85,9.572715953254374e-10
86,2.5200819209203473e-10
87,2.5200819209203473e-10
88,2.5200819209203473e-10
89,2.5200819209203473e-10
90,2.1312729359124205e-11
91,2.1312729359124205e-11
92,2.1312729359124205e-11
93,2.1312729359124205e-11
94,1.4125589586910792e-11
95,1.4125589586910792e-11
96,1.4125589586910792e-11
97,8.409273277720786e-12
98,7.485567721232655e-12
99,7.485567721232655e-12
100,7.485567721232655e-12
101,5.126565838509123e-12
102,2.9842794901924208e-12
103,2.9842794901924208e-12
104,2.9842794901924208e-12
105,2.9842794901924208e-12
106,2.163602630389505e-12
107,2.142286348316702e-12
108,1.2434497875801753e-12
109,1.2434497875801753e-12
110,5.719869022868806e-13
111,5.719869022868806e-13
112,2.4513724383723456e-13
113,2.4513724383723456e-13
114,2.4513724383723456e-13
115,2.4513724383723456e-13
116,2.4513724383723456e-13
117,1.7763568394002505e-14
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
